Source Country,2021,2022,2023,2024,Total,Grade,Calculated Total
Jordan,8.700000047684,60.299999403954,1157.450000095368,50.800000548363,1277.250000095368,B,1277.250000095369
Kazakhstan,0.0,34.000000953674,257.700003027916,119.999997735023,411.700001716614,C,411.700001716613
Kenya,618.999987602234,471.000002670288,1449.599996209145,404.199995517731,2943.799981999397,D,2943.799981999398
Kuwait,2212.500037908554,456.849992394447,3306.200060606003,457.130004242063,6432.680095151067,A,6432.680095151067
Latvia,51.700000762939,252.520000429153,521.926994410753,376.999995648861,1203.146991251707,B,1203.146991251706
Lebanon,407.00999833107,113.050001132488,176.149995350838,141.5,837.709994814396,D,837.709994814396
Lithuania,569.809998793006,334.779997168779,2894.180014698505,798.769998192787,4597.540008853078,A,4597.540008853077
Luxembourg,5203.432090214165,17716.616024569037,10310.562318279073,40115.34038922191,73345.95082228418,A+,73345.95082228418
Macau,31.599999427795,6.800000190735,3.400000095367,0.0,41.799999713898,A+,41.799999713897
Malaysia,1938.679978852272,4351.740001049042,3166.760042178631,5238.560063153505,14695.74008523345,B,14695.74008523345
Malta,118.099999427795,641.140006252527,165.279998826981,198.60000026226,1123.120004769564,A,1123.120004769563
Mauritius,1445.700004577637,1190.900008440018,1025.599989320338,682.999992609024,4345.199994947016,B,4345.199994947017
Mexico,2235.870007212162,3806.989990677833,1463.449998352528,2048.749992996454,9555.059989238978,C,9555.059989238976
Moldova,23.700000762939,0.0,5.15,2.200000047684,31.050000810623,C,31.050000810622997
Montenegro,1.399999976158,3.599999904633,19.39999961853,39.700000762939,64.10000026226,B,64.10000026226
Morocco,1395.900003492832,149.599998056889,85.699999809265,278.099995136261,1909.299996495247,C,1909.299996495247
Netherlands,22060.530982427357,26689.320005759593,34562.14054360804,49549.61560694501,132861.60713874002,A+,132861.60713874002
New Zealand,711.320007241964,1745.459997437,1438.920007009506,678.26999682188,4573.970008510351,A,4573.97000851035
Nigeria,559.899994620681,719.699992418289,631.369991540909,1033.099991083145,2944.069969663024,D,2944.069969663024
North Macedonia,0.600000023842,16.10000038147,22.0,140.700000047684,179.400000452995,B,179.40000045299598
Norway,9384.331741470669,11048.699997588992,18787.409957521555,8970.73994846642,48191.18164504764,A+,48191.18164504763
Oman,15.150000095367,744.870007038116,853.650001811981,454.200000047684,2067.870008993149,B,2067.870008993148
Pakistan,92.099998521805,98.149999976158,617.200014638901,1345.999977707863,2153.449990844726,D,2153.449990844727
Panama,72.299999952316,3.899999976158,14.599999666214,54.500001013279,145.300000607967,C,145.300000607967
Peru,281.829999988079,137.060000538826,381.249997448921,338.000005364418,1138.140003340244,C,1138.140003340244
Philippines,368.02,4146.699998557568,1544.249983027577,1462.579989671707,7521.549971256853,C,7521.549971256853
Poland,3166.219992984831,2343.540021524727,5444.770125178696,2338.638499669731,13293.168639357984,B,13293.168639357984
Portugal,5984.469975001814,16825.709994403125,2881.629982280135,8661.159965470433,34352.96991715551,A,34352.96991715551
