Country Name,Country Code,Year,Composite_Score,Grade,Continent
Mozambique,MOZ,2021,0.262567368,D,Africa
Namibia,NAM,2021,0.430020253,C,Africa
Nepal,NPL,2021,0.382037905,D,Asia
Netherlands,NLD,2021,0.651626358,A+,Europe
New Zealand,NZL,2021,0.615681837,A,Oceania
Nicaragua,NIC,2021,0.383525705,D,North America
Nigeria,NGA,2021,0.280419154,D,Africa
North Macedonia,MKD,2021,0.492253749,B,Europe
Norway,NOR,2021,0.672440765,A+,Europe
Oman,OMN,2021,0.518501481,B,Asia
Pakistan,PAK,2021,0.319843472,D,Asia
Panama,PAN,2021,0.49141746,B,North America
Papua New Guinea,PNG,2021,0.287267834,D,Oceania
Paraguay,PRY,2021,0.446352281,C,South America
Peru,PER,2021,0.462624871,C,South America
Philippines,PHL,2021,0.435986729,C,Asia
Poland,POL,2021,0.543310242,B,Europe
Portugal,PRT,2021,0.562453134,B,Europe
Qatar,QAT,2021,0.642122122,A+,Asia
Romania,ROU,2021,0.506677102,B,Europe
Russian Federation,RUS,2021,0.488196041,B,Europe
Rwanda,RWA,2021,0.388832039,D,Africa
Samoa,WSM,2021,0.49523079,B,Oceania
Saudi Arabia,SAU,2021,0.584520178,A,Asia
Serbia,SRB,2021,0.486650346,C,Europe
Seychelles,SYC,2021,0.588580775,A,Africa
Singapore,SGP,2021,0.7938191,A+,Asia
Slovak Republic,SVK,2021,0.550568384,B,Europe
Slovenia,SVN,2021,0.587250349,A,Europe
Solomon Islands,SLB,2021,0.426659516,D,Oceania
South Africa,ZAF,2021,0.439563973,C,Africa
Spain,ESP,2021,0.554764576,B,Europe
Sri Lanka,LKA,2021,0.405184792,D,Asia
Suriname,SUR,2021,0.469743031,C,South America
Sweden,SWE,2021,0.637953336,A+,Europe
Switzerland,CHE,2021,0.722406782,A+,Europe
Thailand,THA,2021,0.487192054,C,Asia
Timor-Leste,TLS,2021,0.462561689,C,Asia
Trinidad and Tobago,TTO,2021,0.515031403,B,North America
Tunisia,TUN,2021,0.437386415,C,Africa
Turkiye,TUR,2021,0.447475653,C,Asia
Uganda,UGA,2021,0.283178278,D,Africa
Ukraine,UKR,2021,0.414858777,D,Europe
United Arab Emirates,ARE,2021,0.645648939,A+,Asia
United Kingdom,GBR,2021,0.585818446,A,Europe
United States,USA,2021,0.55268079,B,North America
Uruguay,URY,2021,0.588507442,A,South America
Uzbekistan,UZB,2021,0.467422483,C,Asia
Viet Nam,VNM,2021,0.492607603,B,Asia
West Bank and Gaza,PSE,2021,0.368489477,D,Asia
Zambia,ZMB,2021,0.350536177,D,Africa
Zimbabwe,ZWE,2021,0.276447525,D,Africa
Albania,ALB,2022,0.486081451,C,Europe
Algeria,DZA,2022,0.46611092,C,Africa
Angola,AGO,2022,0.335475951,D,Africa
Antigua and Barbuda,ATG,2022,0.518755417,B,North America
Argentina,ARG,2022,0.461131969,C,South America
Armenia,ARM,2022,0.462347269,C,Asia
Australia,AUS,2022,0.610927188,A,Oceania
Austria,AUT,2022,0.607776277,A,Europe
Azerbaijan,AZE,2022,0.464142796,C,Asia
"Bahamas, The",BHS,2022,0.569402198,A,North America
Bahrain,BHR,2022,0.556353023,B,Asia
Bangladesh,BGD,2022,0.356038978,D,Asia
Belarus,BLR,2022,0.4335524,C,Europe
Belgium,BEL,2022,0.617997848,A,Europe
Belize,BLZ,2022,0.477939267,C,North America
Bolivia,BOL,2022,0.421958074,C,South America
Bosnia and Herzegovina,BIH,2022,0.437571241,C,Europe
Botswana,BWA,2022,0.520557557,B,Africa
Brazil,BRA,2022,0.444318029,C,South America
Bulgaria,BGR,2022,0.511131972,B,Europe
Burkina Faso,BFA,2022,0.228003397,D,Africa
Burundi,BDI,2022,0.182452784,D,Africa
Cabo Verde,CPV,2022,0.536375135,B,Africa
Cambodia,KHM,2022,0.422437048,C,Asia
Cameroon,CMR,2022,0.31495275,D,Africa
