Country Name,Country Code,Year,Composite_Score,Grade,Continent
Kazakhstan,KAZ,2023,0.487379277259276,C,Asia
Kenya,KEN,2023,0.3432703584978055,D,Africa
"Korea, Rep.",KOR,2023,0.5964301623468039,A,Asia
Kuwait,KWT,2023,0.5701364161750171,A,Asia
Kyrgyz Republic,KGZ,2023,0.4124301895031203,D,Asia
Latvia,LVA,2023,0.5571803485236789,B,Europe
Lebanon,LBN,2023,0.3718974095643956,D,Asia
Lithuania,LTU,2023,0.5776360899371522,A,Europe
Luxembourg,LUX,2023,0.7531423302668956,A+,Europe
"Macao SAR, China",MAC,2023,0.7429738449618888,A+,Asia
Madagascar,MDG,2023,0.2763130241759854,D,Africa
Malaysia,MYS,2023,0.5568357925051798,B,Asia
Malta,MLT,2023,0.5978776730707687,A,Europe
Mauritania,MRT,2023,0.3417705374176711,D,Africa
Mauritius,MUS,2023,0.5507315763030106,B,Africa
Mexico,MEX,2023,0.4355805053620106,C,North America
Moldova,MDA,2023,0.4488782252057625,C,Europe
Mongolia,MNG,2023,0.4977612348763728,C,Asia
Montenegro,MNE,2023,0.5058052899746597,B,Europe
Morocco,MAR,2023,0.4707206240433301,C,Africa
Mozambique,MOZ,2023,0.2778438684274235,D,Africa
Namibia,NAM,2023,0.4365851491552612,C,Africa
Nepal,NPL,2023,0.418225873264325,D,Asia
Netherlands,NLD,2023,0.640208668827495,A+,Europe
New Zealand,NZL,2023,0.6169255074443841,A,Oceania
Nicaragua,NIC,2023,0.401810675764105,D,North America
Nigeria,NGA,2023,0.2909894026238224,D,Africa
North Macedonia,MKD,2023,0.5045164187784686,B,Europe
Norway,NOR,2023,0.6703036287746484,A+,Europe
Oman,OMN,2023,0.5424879689539499,B,Asia
Pakistan,PAK,2023,0.3040785738686964,D,Asia
Panama,PAN,2023,0.4725806800888339,C,North America
Papua New Guinea,PNG,2023,0.3035562565669106,D,Oceania
Paraguay,PRY,2023,0.4554527886788327,C,South America
Peru,PER,2023,0.4417130985297248,C,South America
Philippines,PHL,2023,0.461842603027996,C,Asia
Poland,POL,2023,0.5492865125991887,B,Europe
Portugal,PRT,2023,0.5618063113092493,A,Europe
Qatar,QAT,2023,0.656122302770435,A+,Asia
Romania,ROU,2023,0.5119167823461884,B,Europe
Russian Federation,RUS,2023,0.4613617754952785,C,Europe
Rwanda,RWA,2023,0.4126041688005279,D,Africa
Samoa,WSM,2023,0.5422514665793078,B,Oceania
Saudi Arabia,SAU,2023,0.5832624877201059,A,Asia
Serbia,SRB,2023,0.4949341713839559,C,Europe
Seychelles,SYC,2023,0.5859301334033796,A,Africa
Singapore,SGP,2023,0.776478610775561,A+,Asia
Slovak Republic,SVK,2023,0.5431971081554505,B,Europe
Slovenia,SVN,2023,0.5876301403450324,A,Europe
Solomon Islands,SLB,2023,0.4186141626918516,D,Oceania
South Africa,ZAF,2023,0.4260012387469566,C,Africa
Spain,ESP,2023,0.5465240134266242,B,Europe
Sri Lanka,LKA,2023,0.4028589226125719,D,Asia
Suriname,SUR,2023,0.4780402466578456,C,South America
Sweden,SWE,2023,0.6282157927971352,A+,Europe
Switzerland,CHE,2023,0.7087137385792781,A+,Europe
Thailand,THA,2023,0.501397422871662,B,Asia
Timor-Leste,TLS,2023,0.4050118541663996,D,Asia
Trinidad and Tobago,TTO,2023,0.5140662019338561,B,North America
Tunisia,TUN,2023,0.4405570519160338,C,Africa
Turkiye,TUR,2023,0.4436439815311006,C,Asia
Uganda,UGA,2023,0.2951314417404928,D,Africa
Ukraine,UKR,2023,0.4153131784594531,D,Europe
United Arab Emirates,ARE,2023,0.6552635053090389,A+,Asia
United Kingdom,GBR,2023,0.5752104842761436,A,Europe
United States,USA,2023,0.5586409064204008,B,North America
Uruguay,URY,2023,0.5782145772987565,A,South America
Uzbekistan,UZB,2023,0.4648993967337159,C,Asia
Viet Nam,VNM,2023,0.4947275786460154,C,Asia
West Bank and Gaza,PSE,2023,0.3503028260588713,D,Asia
Zambia,ZMB,2023,0.3579061768280511,D,Africa
Zimbabwe,ZWE,2023,0.2455672931682543,D,Africa
