Source Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Panama,,30.9,20,10.8,41.7,49.8,84.9,464.6,54.2,4.2,37.1,88.4,,35.8,116.3,1866.4,53.1,46.7,72.3,3.9,14.6,54.5,3150
Tunisia,0.2,44,47.9,137.3,888.2,410.6,55.1,100.6,14.3,5.8,173,86.8,79,26.2,116,105.6,132.8,58.9,284.2,111.4,125.4,60.7,3064
Serbia,34.3,18.9,,170.9,25.5,317.9,49.1,205.1,93.7,46.7,45.3,412.8,19.7,123.9,252,108.4,25.2,63.3,54.3,77.9,118.1,459.4,2722
Bahamas,650,359.8,299.7,6.1,4,10.8,34.8,,0.9,8.3,60.8,,,,715.8,144.5,,,20.6,161.5,132.2,81.2,2691
Bangladesh,26.9,,,72.5,,101.9,61,87.3,102.2,128.5,0.7,48.5,58.6,76.3,131.3,1057,133.1,21.6,49.4,47.6,58.4,47.4,2310
Angola,,32.3,,,41.7,83.4,2.2,595,,347.9,70.4,297.3,9.5,,302.8,144.3,25.8,40,,3.7,12.3,253.7,2262
Guatemala,,,41.9,,74.1,49.1,115.7,62.6,373.7,177.8,198.6,7.1,,1.7,6.6,102.2,23,231.7,12.4,355.3,4.4,126.7,1965
Cambodia,,,,,,65,208.8,,,166.8,175.3,79.3,2.8,,1.8,,,123.4,,1.4,414.2,262.7,1501
Cameroon,,,11,,,,22,,,,,,9.4,,51.3,38.1,23.7,6.1,,163.1,1,765.2,1091
Cote d Ivoire,,11,33,11,,11.8,22,22,,42.1,368.2,150,9.5,38.3,118.9,28,67.2,84.8,,1.9,31.7,24.1,1076
Georgia,,6,,,,74.8,29,6.7,181.1,205.9,13.3,,32.6,,26.5,19,32.6,0.5,121.2,39.7,71.7,112.6,973
Costa Rica,,5.2,2.4,12.3,89.9,4.8,45.2,50.6,3.2,2,68.9,4.4,7.3,19,8.5,175,16,4,82,117.5,12,193.7,924
Uruguay,26.1,15.3,,,25.2,2.4,43.1,2.4,5.1,,16.7,,,15.5,8.4,7.2,154.4,17.7,284.7,29.7,61.3,4.7,720
Albania,,16.5,,,,,,105.2,,,,,,,14.7,409.2,,5.8,39.7,68.2,,43.3,703
Ghana,,0.2,,,,,5.6,16.1,52.4,47.7,21.6,,4.7,34.7,20.5,47.4,51.3,36.2,1.3,25.7,157.7,172.2,695
Armenia,,,30.7,2,,45.6,,7.3,69.6,133.9,,,43.9,,,,3.7,,17.6,3.4,50.1,16,424
Trinidad & Tobago,,,30.9,0.5,27.7,,,2.5,,,62.2,,,,,13.9,29.6,3,2.2,146.2,5.9,4.5,329
North Macedonia,4.4,,,,,,9.5,1,34.9,,74.9,,,,,,,9.1,0.6,16.1,22,140.7,313
Iraq,,,82,,16,,20,2.2,42.2,,8.7,,,,3,25.5,60.8,,1.3,2.2,19.4,8.2,291
Bosnia-Herzegovina,,,31.9,,,6.8,,18.6,2.6,5.7,72.4,7.1,,3.1,1.2,0.3,,,3.8,3.7,11.4,121.7,290
Seychelles,,,,,,,,,,,,,3,,,,62,33.9,46.6,2.4,64.7,12.7,225
Montenegro,,,,,,,,6.8,,,19.4,,,2.2,,,,,1.4,3.6,19.4,39.7,93
